hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
Resort Hotel,0,342,2025,July,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2025-07-01,Ernest Barnes,Ernest.Barnes31@outlook.com,669-792-1661,************4322
Resort Hotel,0,737,2025,July,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2025-07-01,Andrea Baker,Andrea_Baker94@aol.com,858-637-6955,************9157
Resort Hotel,0,7,2025,July,27,1,0,1,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,75.0,0,0,Check-Out,2025-07-02,Rebecca Parker,Rebecca_Parker@comcast.net,652-885-2745,************3734
Resort Hotel,0,13,2025,July,27,1,0,1,1,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304.0,,0,Transient,75.0,0,0,Check-Out,2025-07-02,Laura Murray,Laura_M@gmail.com,364-656-8427,************5677
Resort Hotel,0,14,2025,July,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,98.0,0,1,Check-Out,2025-07-03,Linda Hines,LHines@verizon.com,713-226-5883,************5498
Resort Hotel,0,14,2025,July,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,98.0,0,1,Check-Out,2025-07-03,Jasmine Fletcher,JFletcher43@xfinity.com,190-271-6743,************9263
Resort Hotel,0,0,2025,July,27,1,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107.0,0,0,Check-Out,2025-07-03,Dylan Rangel,Rangel.Dylan@comcast.net,420-332-5209,************6994
Resort Hotel,0,9,2025,July,27,1,0,2,2,0.0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303.0,,0,Transient,103.0,0,1,Check-Out,2025-07-03,William Velez,Velez_William@mail.com,286-669-4333,************8729
City Hotel,0,85,2025,August,31,5,2,3,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,142.0,0,1,Check-Out,2025-08-10,John Smith,john.smith@gmail.com,555-123-4567,************1234
City Hotel,0,30,2025,August,32,10,1,2,2,1.0,0,HB,USA,Direct,Direct,0,0,0,B,B,1,No Deposit,,,0,Transient,165.0,1,2,Check-Out,2025-08-13,Mary Johnson,mary.j@yahoo.com,555-234-5678,************2345
City Hotel,0,45,2025,September,36,1,2,4,2,0.0,0,BB,CAN,Corporate,Corporate,0,0,0,A,A,0,Refundable,305.0,,0,Contract,189.0,0,0,Check-Out,2025-09-07,Robert Wilson,r.wilson@company.com,555-345-6789,************3456
Resort Hotel,0,21,2025,September,37,8,2,5,2,2.0,0,FB,GBR,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,241.0,,0,Transient,225.0,1,3,Check-Out,2025-09-15,Emma Davis,emma.davis@outlook.com,555-456-7890,************4567
City Hotel,0,60,2025,October,41,7,1,2,1,0.0,0,SC,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,95.0,0,1,Check-Out,2025-10-10,Hans Mueller,h.mueller@email.de,555-567-8901,************5678
Resort Hotel,0,14,2025,October,42,12,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,B,B,0,Non Refund,242.0,,0,Transient,178.0,0,2,Check-Out,2025-10-17,Pierre Dupont,pierre.d@mail.fr,555-678-9012,************6789
City Hotel,0,7,2025,November,45,3,0,2,2,1.0,0,HB,ESP,Direct,Direct,1,0,1,C,C,1,Refundable,,,0,Transient-Party,210.0,1,1,Check-Out,2025-11-05,Carlos Garcia,c.garcia@email.es,555-789-0123,************7890
Resort Hotel,0,90,2025,December,49,1,2,5,2,0.0,0,FB,ITA,Corporate,Corporate,0,0,0,E,E,3,No Deposit,306.0,,0,Group,295.0,0,4,Check-Out,2025-12-08,Marco Rossi,marco.r@azienda.it,555-890-1234,************8901
City Hotel,0,120,2025,December,51,15,2,3,2,2.0,1,BB,JPN,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,243.0,,0,Transient,185.0,0,2,Check-Out,2025-12-20,Yuki Tanaka,y.tanaka@email.jp,555-901-2345,************9012

